First Name,Last Name,Age,FA Year,eFG%,TRB,AST,PTS,PER,TOV%,USG%,BPM,VORP,ORtg
Chandler,Parsons,25,2014,0.538,5.5,4,16.6,15.9,11.7,19.3,2.6,3.2,114
Tayshaun,Prince,31,2011,0.49,4.2,2.8,14.1,15.1,7.1,21,-1.7,0.2,108
JJ,Reddick,34,2018,0.569,2.5,3,17.1,15.9,9.6,21.7,0,1.1,119
JJ,Reddick,33,2017,0.558,2.2,1.4,15,14.8,9.1,22,-0.1,1.1,113
J.J.,Redick,29,2013,0.528,2.2,3.8,14.1,14.7,12.5,20.8,-1.1,0.6,111
Jason,Richardson,30,2011,0.536,4.1,1.8,15.6,15,7.8,20.6,2.2,2.8,110
Austin,Rivers,27,2016,0.484,2.9,1,8.7,12.9,10.3,20.2,-3.3,-0.5,104
Austin,Rivers,26,2015,0.449,2,2,7,10.3,10.5,17.9,-2.9,-0.4,100
Andre,Roberson,24,2017,0.513,5.1,1,6.6,9.6,9.1,10.1,0,1.2,108
Glen,Robinson III,21,2015,0.425,1.1,0.3,2.1,8.5,12.4,14.9,-6.3,-0.3,97
Brandon,Roy,28,2012,0.436,2.6,2.7,12.2,13.9,8.6,22.8,-2.1,0,105
Brandon,Rush,31,2016,0.552,2.5,0.8,4.2,10.1,10.8,12.5,-1.3,0.2,108
Brandon,Rush,29,2014,0.422,1.2,0.6,2.1,4.1,17.8,12.3,-6.3,-0.4,83
Brandon,Rush,27,2012,0.607,3.9,1.4,9.8,15.2,11.9,15.4,0.7,1.2,115
Thabo,Sefolosha,33,2017,0.492,4.4,1.7,7.2,11.9,11.9,13.3,1.2,1.3,105
Thabo,Sefolosha,30,2014,0.485,3.6,1.5,6.3,10.4,12.9,11.9,0.8,1.1,106
Iman,Shumpert,25,2015,0.481,3.6,2.2,8,11.4,15.4,17.4,-0.4,0.6,98
Kyle,Singler,27,2015,0.493,2.4,1.1,6,8.5,10.5,13.2,-1.6,0.2,104
Marcus,Smart,24,2018,0.44,3.5,4.8,10.2,10.8,18.4,19.4,-0.5,0.6,97
JR,Smith,26,2016,0.498,1.9,1.5,8.9,11.1,9.7,19.4,-2.2,-0.1,101
Tony,Snell,25,2017,0.588,3.1,1.2,8.5,9.7,8.8,12.1,-0.8,0.7,114
Lance,Stephenson,23,2014,0.54,7.2,4.6,13.8,14.7,18,19.4,2.3,3,106
DeShawn,Stevenson,31,2012,0.404,2,0.8,2.9,4.3,9.6,9.4,-4.5,-0.6,90
